image_number,image_name,pixel_diff,centroid_diff,gradient_diff,thickness_diff,total_diff
53,53_binary_borders.png,0.3248294800248029,0.3427859636685982,0.35492353636558355,0.13969046430354468,0.2905573610906323
54,54_binary_borders.png,0.22331473115422093,0.34126266505635483,0.535535663563113,0.3781328007988018,0.36956146514312266
55,55_binary_borders.png,0.656214013641598,0.14776138365233196,0.24204201761898128,0.5116325511732401,0.3894124915215379
56,56_binary_borders.png,0.47408982195057137,0.45734464800950475,0.31769363921811583,0.10843734398402397,0.33939136329055397
57,57_binary_borders.png,0.5941181681282665,0.367032020590797,0.4885138297477193,0.49016475287069394,0.4849571928343691
58,58_binary_borders.png,0.5067765081052352,0.12341418852464293,0.2613697586065244,0.22815776335496754,0.2799295546478425
59,59_binary_borders.png,0.4367968819204535,0.21905386415896327,0.42320044035083604,0.06480279580629056,0.2859634955591358
60,60_binary_borders.png,0.27726105058021083,0.10360937781877985,0.3211012600996985,0.08806789815277084,0.19750989666286503
61,61_binary_borders.png,0.2617592346532022,0.3485132727143002,0.42932586049719357,0.3473789316025961,0.346744324866823
62,62_binary_borders.png,0.4625741872619364,0.2871643474461361,0.29110822460573016,0.05551672491263105,0.27409087105660845
63,63_binary_borders.png,0.475772876251218,0.23721462366177343,0.33481338239068337,0.022266600099850226,0.26751687060088125
64,64_binary_borders.png,0.3358136238816547,0.3250710921543689,0.30490042710193777,0.06979530703944084,0.25889511254435055
65,65_binary_borders.png,0.4574364425546993,0.24765759084821226,0.1269175954642519,0.07728407388916625,0.2273239256890824
66,66_binary_borders.png,0.3934803791301267,0.20758227874200239,0.19515154989130437,0.10703944083874188,0.22581341215054382
67,67_binary_borders.png,0.4546904065904863,0.3968960355727354,0.37415108622471693,0.18102845731402895,0.3516914964254919
68,68_binary_borders.png,0.415802994065019,0.32606824364927806,0.2790216280114639,0.12840738891662506,0.2873250636605965
69,69_binary_borders.png,0.7559571264062361,0.25720617784246264,0.340292211164327,0.5903145282076885,0.48594251090517854
70,70_binary_borders.png,0.5241385419434849,0.3301595718435039,0.3692558603994884,0.13869196205691464,0.34056148406084796
71,71_binary_borders.png,0.7348746567455045,0.3965297256453929,0.31434996585228636,0.4824762855716425,0.4820576584537065
72,72_binary_borders.png,0.5893347506422181,0.20707301014026644,0.23504033000443864,0.3651522715926111,0.34915009059488356
73,73_binary_borders.png,0.5225440694481354,0.17747050010755472,0.261655779769846,0.25192211682476284,0.30339811653757476
74,74_binary_borders.png,0.3381167508193817,0.4753584872892912,0.4652119349978578,0.15406889665501747,0.358189017440387
75,75_binary_borders.png,0.44689520772433344,0.26869616648393696,0.18641971223750295,0.0925611582626061,0.24864306117709487
76,76_binary_borders.png,0.5515989015856143,0.40945344525620886,0.3630656681088982,0.19041437843235148,0.37863309834576825
77,77_binary_borders.png,0.45610771547524137,0.20484868899863531,0.33840089265914525,0.2087868197703445,0.3020360292258416
78,78_binary_borders.png,0.3810789263885198,0.1368668212427123,0.30942406052018806,0.09186220668996506,0.2298080037103463
79,79_binary_borders.png,0.3561874391000089,0.048078333201160235,0.29419827944088334,0.06719920119820269,0.1914158132350638
80,80_binary_borders.png,0.7816458499424218,0.24942385933282238,0.3397519072885833,0.8089865202196705,0.5449520341958745
81,81_binary_borders.png,0.7771281778722651,0.1835405993270001,0.09820892642261501,0.5249126310534199,0.395947583668825
82,82_binary_borders.png,0.4049074320134644,0.21193188896041937,0.32299180035429087,0.05921118322516226,0.24976057613833424
83,83_binary_borders.png,0.460536805740101,0.24605079187037043,0.3007966800124476,0.04223664503245132,0.2624052306638426
84,84_binary_borders.png,0.40774204978297457,0.28224959841668773,0.35903952386765664,0.01547678482276585,0.2661269892225212
85,85_binary_borders.png,0.3868367437328373,0.0063313043552219615,0.20164473756481313,0.010284573140289566,0.1512743396982905
86,86_binary_borders.png,0.48161927540083266,0.13041702891652648,0.3207735998716716,0.23734398402396406,0.2925384720532487
87,87_binary_borders.png,0.47878465763132255,0.38976870913599765,0.32829891331875666,0.16405391912131803,0.3402265498018487
88,88_binary_borders.png,0.6846487731419967,0.5204366839013715,0.32883585291995165,0.4813779331003495,0.5038248107659173
89,89_binary_borders.png,0.6463814332536097,0.3619543251139624,0.26634989281544896,0.42226660009985023,0.42423806282071785
90,90_binary_borders.png,0.5298077774825051,0.26052704092355294,0.32705301352527444,0.1348976535197204,0.3130713713627632
91,91_binary_borders.png,0.4503498981309239,0.3890079046273612,0.49022524840414,0.0,0.3323957627906063
92,92_binary_borders.png,0.3371423509611126,0.4450494308980661,0.43194608384302335,0.008786819770344484,0.30573117136813666
