image_number	pixel_diff	centroid_diff	gradient_diff	thickness_diff	total_diff
141	0.013198689	0.988460537	0.98021334	0.758362456	0.685058756
142	0.130126672	0.84603731	0.797302859	0.570644034	0.586027719
143	0.357073257	0.084018922	0.168157833	0.033649526	0.160724885
144	0.436974046	0.125544724	0.338156261	0.038042936	0.234679491
145	0.550270175	0.134757298	0.343603121	0.275187219	0.325954453
146	0.386128089	0.224099764	0.277902415	0.011882177	0.225003111
147	0.469837895	0.199914367	0.349773045	0.237443834	0.314242285
148	0.546815484	0.352311768	0.404521178	0.184623065	0.372067874
149	0.601647622	0.374885212	0.309373717	0.224463305	0.377592464
150	0.559216937	0.429651484	0.393430697	0.193210185	0.393877326
151	0.3748782	0.444001835	0.412959018	0.015376935	0.311803997
152	0.51572327	0.329866314	0.28789809	0.09326011	0.306686946
153	0.50296749	0.347746367	0.331654434	0.108237644	0.322651484
154	0.760829126	0.384647123	0.532195812	0.629955067	0.576906782
155	0.846842059	0.418989767	0.481988672	0.72910634	0.61923171
156	0.335547878	0.347703134	0.46200593	0.140389416	0.32141159
157	0.433962264	0.259482046	0.211851195	0.065202197	0.242624425
158	0.520683852	0.044378948	0.369423661	0.117823265	0.263077431
159	0.469926477	0.112023049	0.310056672	0.127708437	0.254928659
160	0.322969262	0.119960247	0.3481482	0.131602596	0.230670076
